waktu,suhu,ph
2026-05-01 08:40,28.8,7.68
2026-05-01 08:50,28.9,7.69
2026-05-01 09:00,29.1,7.72
2026-05-01 09:10,29.3,7.74
2026-05-01 09:20,29.3,7.72
2026-05-01 09:30,29.2,7.76
2026-05-01 09:40,29.5,7.73
2026-05-01 09:50,29.5,7.79
2026-05-01 10:00,29.6,7.8
2026-05-01 10:10,29.5,7.79
2026-05-01 10:20,29.4,7.81
2026-05-01 10:30,29.6,7.86
2026-05-01 10:40,29.6,7.84
2026-05-01 10:50,29.6,7.84
2026-05-01 11:00,29.9,7.87
2026-05-01 11:10,30.1,7.86
2026-05-01 11:20,29.9,7.88
2026-05-01 11:30,30.1,7.89
2026-05-01 11:40,30.0,7.92
2026-05-01 11:50,30.2,7.92
2026-05-01 12:00,30.4,7.93
2026-05-01 12:10,30.3,7.97
2026-05-01 12:20,30.4,7.93
2026-05-01 12:30,30.4,7.97
2026-05-01 12:40,30.4,7.96
2026-05-01 12:50,30.6,7.95
2026-05-01 13:00,30.3,7.97
2026-05-01 13:10,30.6,7.96
2026-05-01 13:20,30.7,7.99
2026-05-01 13:30,30.5,8.0
2026-05-01 13:40,30.6,7.96
2026-05-01 13:50,30.7,8.0
2026-05-01 14:00,30.6,8.02
2026-05-01 14:10,30.8,8.0
2026-05-01 14:20,30.8,8.04
2026-05-01 14:30,30.7,8.03
2026-05-01 14:40,30.8,8.07
2026-05-01 14:50,30.5,8.04
2026-05-01 15:00,30.7,8.03
2026-05-01 15:10,31.0,8.03
2026-05-01 15:20,31.0,8.03
2026-05-01 15:30,30.8,8.03
2026-05-01 15:40,30.6,8.04
2026-05-01 15:50,30.7,8.04
2026-05-01 16:00,30.4,8.08
2026-05-01 16:10,30.7,8.07
2026-05-01 16:20,30.5,8.04
2026-05-01 16:30,31.0,8.02
2026-05-01 16:40,30.4,8.02
2026-05-01 16:50,30.6,8.05
2026-05-01 17:00,30.7,8.03
2026-05-01 17:10,30.3,8.02
2026-05-01 17:20,30.6,8.03
2026-05-01 17:30,30.1,8.02
2026-05-01 17:40,30.5,8.06
2026-05-01 17:50,30.4,8.02
2026-05-01 18:00,30.1,7.99
2026-05-01 18:10,30.2,8.01
2026-05-01 18:20,30.2,7.98
2026-05-01 18:30,29.9,7.97
2026-05-01 18:40,29.9,7.99
2026-05-01 18:50,29.6,7.97
2026-05-01 19:00,29.9,8.0
2026-05-01 19:10,29.8,7.98
2026-05-01 19:20,29.7,7.93
2026-05-01 19:30,29.6,7.97
2026-05-01 19:40,29.7,7.94
2026-05-01 19:50,29.9,7.92
2026-05-01 20:00,29.5,7.92
2026-05-01 20:10,29.3,7.95
2026-05-01 20:20,29.5,7.87
2026-05-01 20:30,29.1,7.89
2026-05-01 20:40,29.2,7.85
2026-05-01 20:50,28.8,7.83
2026-05-01 21:00,28.9,7.85
2026-05-01 21:10,28.9,7.83
2026-05-01 21:20,28.7,7.79
2026-05-01 21:30,28.8,7.83
2026-05-01 21:40,28.8,7.83
2026-05-01 21:50,28.5,7.83
2026-05-01 22:00,28.5,7.78
2026-05-01 22:10,28.4,7.77
2026-05-01 22:20,28.1,7.77
2026-05-01 22:30,28.3,7.75
2026-05-01 22:40,28.1,7.75
2026-05-01 22:50,28.3,7.74
2026-05-01 23:00,28.0,7.71
2026-05-01 23:10,28.0,7.69
2026-05-01 23:20,27.9,7.7
2026-05-01 23:30,28.1,7.71
2026-05-01 23:40,27.9,7.67
2026-05-01 23:50,27.8,7.65
2026-05-02 00:00,27.7,7.69
2026-05-02 00:10,27.5,7.71
2026-05-02 00:20,27.6,7.62
2026-05-02 00:30,27.6,7.65
2026-05-02 00:40,27.5,7.65
2026-05-02 00:50,27.5,7.6
2026-05-02 01:00,27.3,7.64
2026-05-02 01:10,27.5,7.66
2026-05-02 01:20,27.5,7.57
2026-05-02 01:30,27.4,7.57
2026-05-02 01:40,27.5,7.61
2026-05-02 01:50,27.1,7.64
2026-05-02 02:00,27.3,7.55
2026-05-02 02:10,27.2,7.57
2026-05-02 02:20,27.2,7.57
2026-05-02 02:30,27.3,7.55
2026-05-02 02:40,27.2,7.61
2026-05-02 02:50,27.1,7.57
2026-05-02 03:00,27.2,7.55
2026-05-02 03:10,27.2,7.56
2026-05-02 03:20,27.0,7.59
2026-05-02 03:30,27.3,7.55
2026-05-02 03:40,27.1,7.54
2026-05-02 03:50,27.3,7.55
2026-05-02 04:00,27.3,7.55
2026-05-02 04:10,27.3,7.55
2026-05-02 04:20,27.3,7.55
2026-05-02 04:30,27.4,7.57
2026-05-02 04:40,27.3,7.54
2026-05-02 04:50,27.2,7.55
2026-05-02 05:00,27.3,7.58
2026-05-02 05:10,27.4,7.6
2026-05-02 05:20,27.7,7.57
2026-05-02 05:30,27.3,7.57
2026-05-02 05:40,27.6,7.55
2026-05-02 05:50,27.6,7.59
2026-05-02 06:00,27.6,7.57
2026-05-02 06:10,27.6,7.63
2026-05-02 06:20,27.8,7.58
2026-05-02 06:30,27.8,7.63
2026-05-02 06:40,27.8,7.62
2026-05-02 06:50,28.1,7.64
2026-05-02 07:00,28.2,7.62
2026-05-02 07:10,28.3,7.62
2026-05-02 07:20,28.1,7.67
2026-05-02 07:30,28.4,7.65
2026-05-02 07:40,28.2,7.67
2026-05-02 07:50,28.3,7.65
2026-05-02 08:00,28.4,7.69
2026-05-02 08:10,28.3,7.7
2026-05-02 08:20,28.7,7.69
2026-05-02 08:30,28.8,7.72
2026-05-02 08:40,28.7,7.71
2026-05-02 08:50,29.0,7.7
2026-05-02 09:00,28.9,7.73
2026-05-02 09:10,29.0,7.76
2026-05-02 09:20,29.1,7.79
2026-05-02 09:30,29.2,7.77
2026-05-02 09:40,29.1,7.8
2026-05-02 09:50,29.4,7.82
2026-05-02 10:00,29.3,7.81
2026-05-02 10:10,29.5,7.81
2026-05-02 10:20,29.6,7.79
2026-05-02 10:30,29.7,7.85
2026-05-02 10:40,29.8,7.89
2026-05-02 10:50,29.7,7.86
2026-05-02 11:00,29.8,7.91
2026-05-02 11:10,29.7,7.89
2026-05-02 11:20,29.8,7.84
2026-05-02 11:30,29.8,7.87
2026-05-02 11:40,30.2,7.89
2026-05-02 11:50,30.1,7.9
2026-05-02 12:00,30.3,7.91
2026-05-02 12:10,30.4,7.92
2026-05-02 12:20,30.2,7.95
2026-05-02 12:30,30.4,7.99
2026-05-02 12:40,30.4,7.94
2026-05-02 12:50,30.4,7.96
2026-05-02 13:00,30.6,7.99
2026-05-02 13:10,30.5,8.01
2026-05-02 13:20,30.5,7.99
2026-05-02 13:30,30.6,8.03
2026-05-02 13:40,30.6,8.0
2026-05-02 13:50,30.5,8.03
2026-05-02 14:00,30.6,8.03
2026-05-02 14:10,30.5,8.05
2026-05-02 14:20,30.6,8.02
2026-05-02 14:30,30.9,8.01
2026-05-02 14:40,30.7,8.04
2026-05-02 14:50,30.6,8.07
2026-05-02 15:00,30.9,8.01
2026-05-02 15:10,30.6,8.07
2026-05-02 15:20,30.6,8.04
2026-05-02 15:30,30.7,8.07
2026-05-02 15:40,30.7,8.06
2026-05-02 15:50,30.6,8.08
2026-05-02 16:00,30.6,8.06
2026-05-02 16:10,30.6,8.06
2026-05-02 16:20,30.6,8.05
2026-05-02 16:30,30.5,8.07
2026-05-02 16:40,30.7,8.06
2026-05-02 16:50,30.6,8.07
2026-05-02 17:00,30.6,8.05
2026-05-02 17:10,30.5,8.06
2026-05-02 17:20,30.4,8.02
2026-05-02 17:30,30.4,8.0
2026-05-02 17:40,30.3,8.04
2026-05-02 17:50,30.4,8.03
2026-05-02 18:00,30.3,8.02
2026-05-02 18:10,30.0,7.99
2026-05-02 18:20,30.0,7.98
2026-05-02 18:30,30.1,8.0
2026-05-02 18:40,30.0,8.0
2026-05-02 18:50,30.0,8.01
2026-05-02 19:00,29.8,7.98
2026-05-02 19:10,29.7,7.94
2026-05-02 19:20,29.8,7.99
2026-05-02 19:30,29.6,7.95
2026-05-02 19:40,29.7,7.9
2026-05-02 19:50,29.5,7.94
2026-05-02 20:00,29.3,7.96
2026-05-02 20:10,29.5,7.92
2026-05-02 20:20,29.3,7.9
2026-05-02 20:30,29.1,7.88
2026-05-02 20:40,29.3,7.91
2026-05-02 20:50,29.1,7.86
2026-05-02 21:00,29.2,7.91
2026-05-02 21:10,28.9,7.84
2026-05-02 21:20,28.7,7.86
2026-05-02 21:30,28.6,7.84
2026-05-02 21:40,28.8,7.8
2026-05-02 21:50,28.8,7.85
2026-05-02 22:00,28.3,7.78
2026-05-02 22:10,28.4,7.77
2026-05-02 22:20,28.3,7.73
2026-05-02 22:30,28.2,7.81
2026-05-02 22:40,28.1,7.76
2026-05-02 22:50,27.9,7.76
2026-05-02 23:00,28.0,7.78
2026-05-02 23:10,28.0,7.72
2026-05-02 23:20,28.0,7.71
2026-05-02 23:30,27.7,7.72
2026-05-02 23:40,27.8,7.7
2026-05-02 23:50,27.8,7.68
2026-05-03 00:00,27.7,7.72
2026-05-03 00:10,27.5,7.71
2026-05-03 00:20,27.6,7.65
2026-05-03 00:30,27.8,7.66
2026-05-03 00:40,27.7,7.67
2026-05-03 00:50,27.2,7.65
2026-05-03 01:00,27.3,7.61
2026-05-03 01:10,27.2,7.63
2026-05-03 01:20,27.4,7.63
2026-05-03 01:30,27.3,7.6
2026-05-03 01:40,27.2,7.6
2026-05-03 01:50,27.1,7.6
2026-05-03 02:00,27.2,7.58
2026-05-03 02:10,27.2,7.57
2026-05-03 02:20,27.2,7.6
2026-05-03 02:30,27.2,7.59
2026-05-03 02:40,27.0,7.57
2026-05-03 02:50,27.2,7.59
2026-05-03 03:00,27.0,7.57
2026-05-03 03:10,27.3,7.56
2026-05-03 03:20,27.2,7.57
2026-05-03 03:30,27.2,7.58
2026-05-03 03:40,27.2,7.57
2026-05-03 03:50,27.1,7.56
2026-05-03 04:00,27.4,7.56
2026-05-03 04:10,27.2,7.55
2026-05-03 04:20,27.4,7.55
2026-05-03 04:30,27.4,7.55
2026-05-03 04:40,27.2,7.57
2026-05-03 04:50,27.4,7.57
2026-05-03 05:00,27.5,7.56
2026-05-03 05:10,27.5,7.55
2026-05-03 05:20,27.6,7.59
2026-05-03 05:30,27.6,7.58
2026-05-03 05:40,27.5,7.58
2026-05-03 05:50,27.7,7.59
2026-05-03 06:00,27.7,7.57
2026-05-03 06:10,27.8,7.59
2026-05-03 06:20,27.7,7.6
2026-05-03 06:30,27.6,7.63
2026-05-03 06:40,28.0,7.62
2026-05-03 06:50,27.9,7.61
2026-05-03 07:00,28.0,7.59
2026-05-03 07:10,28.2,7.66
2026-05-03 07:20,28.2,7.64
2026-05-03 07:30,28.3,7.67
2026-05-03 07:40,28.5,7.67
2026-05-03 07:50,28.3,7.67
2026-05-03 08:00,28.5,7.72
2026-05-03 08:10,28.5,7.68
2026-05-03 08:20,28.5,7.66
2026-05-03 08:30,28.8,7.69
2026-05-03 08:40,28.7,7.69
2026-05-03 08:50,28.8,7.75
2026-05-03 09:00,28.8,7.71
2026-05-03 09:10,29.1,7.75
2026-05-03 09:20,29.2,7.78
2026-05-03 09:30,29.2,7.75
2026-05-03 09:40,29.3,7.8
2026-05-03 09:50,29.3,7.77
2026-05-03 10:00,29.6,7.8
2026-05-03 10:10,29.5,7.82
2026-05-03 10:20,29.7,7.84
2026-05-03 10:30,29.6,7.86
2026-05-03 10:40,30.0,7.88
2026-05-03 10:50,29.9,7.84
2026-05-03 11:00,30.3,7.85
2026-05-03 11:10,29.9,7.87
2026-05-03 11:20,30.2,7.91
2026-05-03 11:30,29.9,7.91
2026-05-03 11:40,30.2,7.91
2026-05-03 11:50,30.0,7.91
2026-05-03 12:00,30.2,7.94
2026-05-03 12:10,30.2,7.96
2026-05-03 12:20,30.2,7.92
2026-05-03 12:30,30.3,7.99
2026-05-03 12:40,30.4,8.02
2026-05-03 12:50,30.5,7.96
2026-05-03 13:00,30.4,7.99
2026-05-03 13:10,30.4,8.04
2026-05-03 13:20,30.5,8.02
2026-05-03 13:30,30.8,8.01
2026-05-03 13:40,30.5,8.01
2026-05-03 13:50,30.7,8.04
2026-05-03 14:00,30.7,8.0
2026-05-03 14:10,30.7,8.02
2026-05-03 14:20,30.5,8.02
2026-05-03 14:30,30.6,8.05
2026-05-03 14:40,31.0,8.08
2026-05-03 14:50,30.7,8.04
2026-05-03 15:00,30.8,8.07
2026-05-03 15:10,30.7,8.05
2026-05-03 15:20,31.0,8.06
2026-05-03 15:30,30.7,8.06
2026-05-03 15:40,30.8,8.04
2026-05-03 15:50,30.7,8.04
2026-05-03 16:00,30.7,8.1
2026-05-03 16:10,30.8,8.06
2026-05-03 16:20,30.5,8.05
2026-05-03 16:30,30.8,8.05
2026-05-03 16:40,30.8,8.03
2026-05-03 16:50,30.5,8.09
2026-05-03 17:00,30.3,8.08
2026-05-03 17:10,30.3,8.05
2026-05-03 17:20,30.4,8.06
2026-05-03 17:30,30.0,8.0
2026-05-03 17:40,30.3,8.04
2026-05-03 17:50,30.2,8.03
2026-05-03 18:00,30.1,8.02
2026-05-03 18:10,30.1,8.03
2026-05-03 18:20,30.2,8.05
2026-05-03 18:30,30.0,8.0
2026-05-03 18:40,30.0,8.0
2026-05-03 18:50,29.9,7.96
2026-05-03 19:00,29.9,7.97
2026-05-03 19:10,29.7,7.95
2026-05-03 19:20,29.9,7.97
2026-05-03 19:30,29.8,7.97
2026-05-03 19:40,29.4,7.93
2026-05-03 19:50,29.6,7.93
2026-05-03 20:00,29.3,7.93
2026-05-03 20:10,29.3,7.91
2026-05-03 20:20,29.2,7.91
2026-05-03 20:30,28.9,7.92
2026-05-03 20:40,29.0,7.92
2026-05-03 20:50,28.9,7.86
2026-05-03 21:00,29.1,7.84
2026-05-03 21:10,28.8,7.88
2026-05-03 21:20,28.8,7.82
2026-05-03 21:30,28.8,7.84
2026-05-03 21:40,28.8,7.85
2026-05-03 21:50,28.9,7.79
2026-05-03 22:00,28.5,7.79
2026-05-03 22:10,28.6,7.82
2026-05-03 22:20,28.4,7.77
2026-05-03 22:30,28.2,7.74
2026-05-03 22:40,28.4,7.78
2026-05-03 22:50,28.1,7.78
2026-05-03 23:00,28.2,7.77
2026-05-03 23:10,27.8,7.72
2026-05-03 23:20,28.0,7.73
2026-05-03 23:30,28.0,7.7
2026-05-03 23:40,27.8,7.75
2026-05-03 23:50,27.8,7.71
2026-05-04 00:00,27.9,7.75
2026-05-04 00:10,28.1,7.73
2026-05-04 00:20,28.0,7.7
2026-05-04 00:30,27.9,7.72
2026-05-04 00:40,27.6,7.72
2026-05-04 00:50,27.6,7.67
2026-05-04 01:00,27.7,7.72
2026-05-04 01:10,27.7,7.69
2026-05-04 01:20,27.5,7.67
2026-05-04 01:30,27.4,7.65
2026-05-04 01:40,27.6,7.65
2026-05-04 01:50,27.7,7.64
2026-05-04 02:00,27.4,7.67
2026-05-04 02:10,27.4,7.61
2026-05-04 02:20,27.6,7.64
2026-05-04 02:30,27.2,7.63
2026-05-04 02:40,27.4,7.66
2026-05-04 02:50,27.3,7.61
2026-05-04 03:00,27.3,7.6
2026-05-04 03:10,27.3,7.59
2026-05-04 03:20,27.3,7.58
2026-05-04 03:30,27.2,7.58
2026-05-04 03:40,27.4,7.6
2026-05-04 03:50,27.3,7.62
2026-05-04 04:00,27.5,7.6
2026-05-04 04:10,27.4,7.64
2026-05-04 04:20,27.5,7.62
2026-05-04 04:30,27.2,7.6
2026-05-04 04:40,27.3,7.6
2026-05-04 04:50,27.7,7.6
2026-05-04 05:00,27.7,7.6
2026-05-04 05:10,27.8,7.59
2026-05-04 05:20,27.7,7.63
2026-05-04 05:30,27.8,7.62
2026-05-04 05:40,28.1,7.62
2026-05-04 05:50,27.8,7.58
2026-05-04 06:00,28.2,7.63
2026-05-04 06:10,27.9,7.67
2026-05-04 06:20,28.2,7.66
2026-05-04 06:30,27.9,7.67
2026-05-04 06:40,28.1,7.64
2026-05-04 06:50,28.4,7.63
2026-05-04 07:00,28.4,7.69
2026-05-04 07:10,28.6,7.7
2026-05-04 07:20,28.2,7.68
2026-05-04 07:30,28.5,7.71
2026-05-04 07:40,28.7,7.68
2026-05-04 07:50,28.6,7.74
2026-05-04 08:00,28.9,7.77
2026-05-04 08:10,28.8,7.76
2026-05-04 08:20,29.1,7.78
2026-05-04 08:30,29.1,7.78
2026-05-04 08:40,29.0,7.74
2026-05-04 08:50,29.3,7.78
2026-05-04 09:00,29.2,7.78
2026-05-04 09:10,29.2,7.81
2026-05-04 09:20,29.2,7.82
2026-05-04 09:30,29.5,7.82
2026-05-04 09:40,29.4,7.85
2026-05-04 09:50,29.8,7.84
2026-05-04 10:00,29.8,7.88
2026-05-04 10:10,29.4,7.85
2026-05-04 10:20,29.7,7.9
2026-05-04 10:30,29.9,7.9
2026-05-04 10:40,30.0,7.88
2026-05-04 10:50,30.0,7.89
2026-05-04 11:00,30.1,7.92
2026-05-04 11:10,30.2,7.92
2026-05-04 11:20,30.4,7.96
2026-05-04 11:30,30.5,7.97
2026-05-04 11:40,30.4,7.98
2026-05-04 11:50,30.5,7.96
2026-05-04 12:00,30.6,8.02
2026-05-04 12:10,30.8,7.99
2026-05-04 12:20,30.6,8.01
2026-05-04 12:30,30.6,8.02
2026-05-04 12:40,30.7,8.01
2026-05-04 12:50,30.9,8.03
2026-05-04 13:00,30.8,8.05
2026-05-04 13:10,30.8,8.05
2026-05-04 13:20,30.8,8.03
2026-05-04 13:30,30.9,8.03
2026-05-04 13:40,30.9,8.04
2026-05-04 13:50,31.0,8.08
2026-05-04 14:00,31.0,8.07
2026-05-04 14:10,31.0,8.04
2026-05-04 14:20,30.9,8.08
2026-05-04 14:30,31.0,8.09
2026-05-04 14:40,30.9,8.1
2026-05-04 14:50,31.0,8.08
2026-05-04 15:00,31.1,8.1
2026-05-04 15:10,31.2,8.12
2026-05-04 15:20,31.1,8.11
2026-05-04 15:30,30.9,8.09
2026-05-04 15:40,30.8,8.16
2026-05-04 15:50,30.8,8.1
2026-05-04 16:00,30.9,8.1
2026-05-04 16:10,30.9,8.07
2026-05-04 16:20,30.8,8.08
2026-05-04 16:30,30.9,8.09
2026-05-04 16:40,30.8,8.11
2026-05-04 16:50,30.7,8.12
2026-05-04 17:00,30.7,8.1
2026-05-04 17:10,30.6,8.11
2026-05-04 17:20,30.6,8.1
2026-05-04 17:30,30.7,8.09
2026-05-04 17:40,30.6,8.08
2026-05-04 17:50,30.7,8.1
2026-05-04 18:00,30.5,8.05
2026-05-04 18:10,30.3,8.06
2026-05-04 18:20,30.3,8.07
2026-05-04 18:30,30.2,8.08
2026-05-04 18:40,30.2,8.01
2026-05-04 18:50,30.1,7.99
2026-05-04 19:00,30.0,8.02
2026-05-04 19:10,30.0,8.02
2026-05-04 19:20,29.9,8.01
2026-05-04 19:30,30.1,8.03
2026-05-04 19:40,29.7,8.03
2026-05-04 19:50,29.6,7.98
2026-05-04 20:00,29.9,7.94
2026-05-04 20:10,29.7,7.95
2026-05-04 20:20,29.5,7.96
2026-05-04 20:30,29.6,7.94
2026-05-04 20:40,29.4,7.96
2026-05-04 20:50,29.3,7.92
2026-05-04 21:00,29.2,7.92
2026-05-04 21:10,29.2,7.89
2026-05-04 21:20,29.0,7.91
2026-05-04 21:30,29.0,7.89
2026-05-04 21:40,28.9,7.87
2026-05-04 21:50,28.7,7.88
2026-05-04 22:00,28.6,7.88
2026-05-04 22:10,28.7,7.82
2026-05-04 22:20,28.6,7.84
2026-05-04 22:30,28.6,7.85
2026-05-04 22:40,28.4,7.8
2026-05-04 22:50,28.3,7.78
2026-05-04 23:00,28.2,7.8
2026-05-04 23:10,28.2,7.77
2026-05-04 23:20,28.1,7.78
2026-05-04 23:30,28.1,7.74
2026-05-04 23:40,28.0,7.75
2026-05-04 23:50,27.9,7.76
2026-05-05 00:00,27.8,7.71
2026-05-05 00:10,27.7,7.71
2026-05-05 00:20,27.6,7.71
2026-05-05 00:30,27.7,7.68
2026-05-05 00:40,27.5,7.69
2026-05-05 00:50,27.4,7.64
2026-05-05 01:00,27.5,7.62
2026-05-05 01:10,27.6,7.67
2026-05-05 01:20,27.4,7.64
2026-05-05 01:30,27.5,7.62
2026-05-05 01:40,27.1,7.62
2026-05-05 01:50,27.2,7.6
2026-05-05 02:00,27.2,7.62
2026-05-05 02:10,27.1,7.64
2026-05-05 02:20,27.0,7.58
2026-05-05 02:30,27.2,7.6
2026-05-05 02:40,27.2,7.59
2026-05-05 02:50,27.0,7.58
2026-05-05 03:00,27.1,7.6
2026-05-05 03:10,27.1,7.6
2026-05-05 03:20,27.2,7.61
2026-05-05 03:30,27.3,7.6
2026-05-05 03:40,27.3,7.57
2026-05-05 03:50,27.2,7.55
2026-05-05 04:00,27.3,7.57
2026-05-05 04:10,27.3,7.59
2026-05-05 04:20,27.1,7.56
2026-05-05 04:30,27.3,7.57
2026-05-05 04:40,27.4,7.56
2026-05-05 04:50,27.4,7.55
2026-05-05 05:00,27.1,7.61
2026-05-05 05:10,27.3,7.58
2026-05-05 05:20,27.3,7.57
2026-05-05 05:30,27.5,7.59
2026-05-05 05:40,27.7,7.62
2026-05-05 05:50,27.6,7.63
2026-05-05 06:00,27.8,7.62
2026-05-05 06:10,27.7,7.64
2026-05-05 06:20,28.0,7.64
2026-05-05 06:30,28.1,7.65
2026-05-05 06:40,28.0,7.62
2026-05-05 06:50,27.9,7.65
2026-05-05 07:00,27.9,7.64
2026-05-05 07:10,28.2,7.65
2026-05-05 07:20,28.3,7.65
2026-05-05 07:30,28.2,7.7
2026-05-05 07:40,28.4,7.7
2026-05-05 07:50,28.6,7.72
2026-05-05 08:00,28.4,7.73
2026-05-05 08:10,28.5,7.72
2026-05-05 08:20,28.7,7.75
2026-05-05 08:30,28.6,7.75
2026-05-05 08:40,28.9,7.76
2026-05-05 08:50,28.9,7.78
2026-05-05 09:00,28.9,7.79
2026-05-05 09:10,29.1,7.75
2026-05-05 09:20,29.2,7.79
2026-05-05 09:30,29.2,7.79
2026-05-05 09:40,29.2,7.78
2026-05-05 09:50,29.6,7.8
2026-05-05 10:00,29.3,7.86
2026-05-05 10:10,29.6,7.86
2026-05-05 10:20,29.8,7.85
2026-05-05 10:30,29.5,7.88
2026-05-05 10:40,29.8,7.87
2026-05-05 10:50,29.6,7.91
2026-05-05 11:00,29.9,7.87
2026-05-05 11:10,30.0,7.88
2026-05-05 11:20,29.9,7.9
2026-05-05 11:30,30.0,7.91
2026-05-05 11:40,30.0,7.95
2026-05-05 11:50,30.2,7.96
2026-05-05 12:00,30.4,7.95
2026-05-05 12:10,30.3,7.98
2026-05-05 12:20,30.5,7.99
2026-05-05 12:30,30.6,8.01
2026-05-05 12:40,30.6,7.96
2026-05-05 12:50,30.6,8.01
2026-05-05 13:00,30.5,8.0
2026-05-05 13:10,30.5,8.03
2026-05-05 13:20,30.7,7.99
2026-05-05 13:30,30.7,8.02
2026-05-05 13:40,30.5,8.05
2026-05-05 13:50,30.6,8.03
2026-05-05 14:00,30.6,8.05
2026-05-05 14:10,30.7,8.03
2026-05-05 14:20,30.6,8.06
2026-05-05 14:30,30.8,8.04
2026-05-05 14:40,30.8,8.05
2026-05-05 14:50,31.1,8.05
2026-05-05 15:00,30.7,8.08
2026-05-05 15:10,30.7,8.09
2026-05-05 15:20,31.0,8.07
2026-05-05 15:30,30.8,8.07
2026-05-05 15:40,30.7,8.11
2026-05-05 15:50,30.8,8.06
2026-05-05 16:00,30.9,8.11
2026-05-05 16:10,30.7,8.07
2026-05-05 16:20,30.7,8.07
2026-05-05 16:30,30.7,8.07
2026-05-05 16:40,30.3,8.1
2026-05-05 16:50,30.6,8.1
2026-05-05 17:00,30.5,8.08
2026-05-05 17:10,30.6,8.08
2026-05-05 17:20,30.5,8.13
2026-05-05 17:30,30.4,8.07
2026-05-05 17:40,30.5,8.04
2026-05-05 17:50,30.2,8.03
2026-05-05 18:00,30.3,8.06
2026-05-05 18:10,30.3,8.02
2026-05-05 18:20,30.2,8.06
2026-05-05 18:30,30.0,8.03
2026-05-05 18:40,30.1,8.03
2026-05-05 18:50,30.0,8.0
2026-05-05 19:00,29.8,7.99
2026-05-05 19:10,29.9,8.01
2026-05-05 19:20,29.7,8.0
2026-05-05 19:30,29.5,8.0
2026-05-05 19:40,29.5,7.98
2026-05-05 19:50,29.6,7.95
2026-05-05 20:00,29.6,7.96
2026-05-05 20:10,29.4,7.96
2026-05-05 20:20,29.1,7.95
2026-05-05 20:30,29.2,7.95
2026-05-05 20:40,29.1,7.91
2026-05-05 20:50,29.1,7.91
2026-05-05 21:00,28.8,7.89
2026-05-05 21:10,29.0,7.89
2026-05-05 21:20,28.7,7.89
2026-05-05 21:30,28.5,7.82
2026-05-05 21:40,28.6,7.86
2026-05-05 21:50,28.6,7.83
2026-05-05 22:00,28.5,7.8
2026-05-05 22:10,28.4,7.79
2026-05-05 22:20,28.3,7.82
2026-05-05 22:30,28.1,7.79
2026-05-05 22:40,28.3,7.82
2026-05-05 22:50,28.0,7.79
2026-05-05 23:00,27.9,7.74
2026-05-05 23:10,28.2,7.77
2026-05-05 23:20,27.8,7.75
2026-05-05 23:30,27.9,7.74
2026-05-05 23:40,28.1,7.74
2026-05-05 23:50,27.4,7.71
2026-05-06 00:00,27.2,7.68
2026-05-06 00:10,27.2,7.66
2026-05-06 00:20,27.0,7.69
2026-05-06 00:30,27.2,7.64
2026-05-06 00:40,27.2,7.66
2026-05-06 00:50,27.2,7.62
2026-05-06 01:00,27.1,7.62
2026-05-06 01:10,27.1,7.62
2026-05-06 01:20,26.6,7.61
2026-05-06 01:30,26.7,7.6
2026-05-06 01:40,26.9,7.59
2026-05-06 01:50,26.7,7.57
2026-05-06 02:00,26.7,7.58
2026-05-06 02:10,26.9,7.6
2026-05-06 02:20,26.7,7.6
